"Steps"	"Temperature (K)"	"PotentialEnergy"	"Scaling"	"310K Weight"	"352.325K Weight"	"400.43K Weight"	"455.102K Weight"	"517.238K Weight"	"587.859K Weight"	"668.121K Weight"	"759.342K Weight"	"863.017K Weight"	"980.848K Weight"	"1114.77K Weight"	"1266.97K Weight"	"1439.95K Weight"	"1636.56K Weight"	"1860K Weight"
44000	980.848	108.343	0.316053	0	-2.375	-4.39844	-6.41016	-8.30859	-9.79297	-11.3477	-12.9336	-14.1602	-15.5156	-16.6289	-17.8477	-18.8789	-20.1211	-21.0195
44500	352.325	54.7754	0.879868	0	-2.37109	-4.39453	-6.41406	-8.30078	-9.77344	-11.3281	-12.918	-14.1562	-15.5	-16.6133	-17.8438	-18.875	-20.1016	-21.0117
45000	668.121	51.4595	0.463988	0	-2.35547	-4.40625	-6.42578	-8.30469	-9.77734	-11.332	-12.9219	-14.1289	-15.4688	-16.5898	-17.8125	-18.8398	-20.0703	-20.9727
45500	517.238	44.8258	0.599337	0	-2.36328	-4.40625	-6.43164	-8.30469	-9.78516	-11.3242	-12.916	-14.1172	-15.4512	-16.5859	-17.7969	-18.8223	-20.0527	-20.9551
46000	455.102	56.3442	0.681167	0	-2.36523	-4.40039	-6.42383	-8.30469	-9.7793	-11.3262	-12.916	-14.1211	-15.4434	-16.5879	-17.791	-18.8164	-20.0469	-20.9512
46500	1266.97	83.685	0.244678	0	-2.36328	-4.41602	-6.42578	-8.30859	-9.78516	-11.334	-12.9121	-14.125	-15.4512	-16.584	-17.793	-18.8125	-20.0391	-20.9434
47000	1114.77	63.715	0.278085	0	-2.36523	-4.42773	-6.42773	-8.31836	-9.78711	-11.3535	-12.918	-14.1445	-15.4629	-16.6055	-17.8066	-18.832	-20.0547	-20.9551
47500	980.848	63.8114	0.316053	0	-2.36133	-4.43164	-6.42773	-8.32031	-9.79102	-11.3652	-12.9219	-14.1406	-15.4688	-16.6074	-17.8086	-18.8379	-20.0449	-20.9512
48000	587.859	63.6442	0.527338	0	-2.36426	-4.43359	-6.43457	-8.32617	-9.80957	-11.3721	-12.9336	-14.1494	-15.4863	-16.6289	-17.8242	-18.8584	-20.0547	-20.959
48500	310	46.2907	1	0	-2.36621	-4.43848	-6.44531	-8.33008	-9.81641	-11.374	-12.9355	-14.1484	-15.4863	-16.6299	-17.8232	-18.8574	-20.0537	-20.9541
49000	1114.77	64.2431	0.278085	0	-2.36621	-4.44141	-6.44043	-8.32617	-9.8125	-11.3721	-12.9307	-14.1436	-15.4785	-16.626	-17.8184	-18.8506	-20.0459	-20.9434
49500	759.342	77.7097	0.408248	0	-2.36621	-4.44434	-6.44434	-8.3291	-9.81348	-11.376	-12.9375	-14.1533	-15.4873	-16.6309	-17.8252	-18.8594	-20.0518	-20.9453
50000	517.238	62.4107	0.599337	0	-2.36523	-4.44531	-6.44238	-8.31836	-9.80664	-11.3682	-12.9287	-14.1426	-15.4775	-16.6201	-17.8145	-18.8506	-20.0391	-20.9375
50500	587.859	51.358	0.527338	0	-2.36035	-4.44238	-6.45117	-8.31445	-9.80762	-11.3672	-12.9287	-14.1367	-15.4756	-16.6143	-17.8066	-18.8428	-20.0312	-20.9287
51000	863.017	51.5828	0.359205	0	-2.3623	-4.45312	-6.45215	-8.31836	-9.80762	-11.3721	-12.9297	-14.1367	-15.4775	-16.623	-17.8105	-18.8457	-20.0303	-20.9277
51500	863.017	59.2531	0.359205	0	-2.35742	-4.45508	-6.4502	-8.31934	-9.80371	-11.3662	-12.9229	-14.1387	-15.4727	-16.6182	-17.8027	-18.8389	-20.0205	-20.917
52000	759.342	65.4255	0.408248	0	-2.35938	-4.46191	-6.45312	-8.31445	-9.80664	-11.3633	-12.9209	-14.1328	-15.4678	-16.6133	-17.7988	-18.833	-20.0137	-20.9102
52500	352.325	55.5636	0.879868	0	-2.35742	-4.46143	-6.44922	-8.31445	-9.80615	-11.3652	-12.9229	-14.1328	-15.4722	-16.6162	-17.7998	-18.832	-20.0186	-20.9097
53000	400.43	64.9119	0.774169	0	-2.35693	-4.46191	-6.44727	-8.31348	-9.80908	-11.3667	-12.9214	-14.1348	-15.4712	-16.6152	-17.8018	-18.8311	-20.0166	-20.9082
53500	310	41.4275	1	0	-2.3584	-4.46289	-6.4458	-8.31104	-9.80811	-11.3667	-12.9199	-14.1328	-15.4697	-16.6147	-17.7979	-18.8271	-20.0127	-20.9033
54000	759.342	58.0929	0.408248	0	-2.35791	-4.4624	-6.44482	-8.30762	-9.8042	-11.3618	-12.917	-14.1284	-15.4648	-16.6118	-17.792	-18.8213	-20.0068	-20.8965
54500	668.121	46.2286	0.463988	0	-2.3584	-4.46338	-6.44629	-8.30908	-9.80566	-11.3643	-12.9189	-14.1309	-15.4663	-16.6157	-17.793	-18.8237	-20.0059	-20.8955
55000	980.848	75.5369	0.316053	0	-2.35791	-4.4668	-6.44873	-8.30859	-9.80664	-11.3657	-12.9185	-14.1309	-15.4663	-16.6172	-17.792	-18.8247	-20.0044	-20.8936
55500	310	57.3249	1	0	-2.35791	-4.46826	-6.4502	-8.30859	-9.81494	-11.3691	-12.9209	-14.1353	-15.4697	-16.6196	-17.7969	-18.8281	-20.0078	-20.896
56000	668.121	58.1488	0.463988	0	-2.35596	-4.46729	-6.44873	-8.30566	-9.81787	-11.3672	-12.9194	-14.1333	-15.4683	-16.6162	-17.7925	-18.8232	-20.0039	-20.8921
56500	863.017	69.2571	0.359205	0	-2.35742	-4.4668	-6.44922	-8.30371	-9.81836	-11.3677	-12.916	-14.1357	-15.4668	-16.6143	-17.79	-18.8198	-20	-20.8887
57000	759.342	68.9969	0.408248	0	-2.35938	-4.46777	-6.44922	-8.30322	-9.82031	-11.3657	-12.917	-14.1362	-15.4648	-16.6123	-17.7881	-18.8179	-19.9976	-20.8853
57500	455.102	57.0927	0.681167	0	-2.35913	-4.46851	-6.45117	-8.30249	-9.82153	-11.366	-12.9155	-14.1377	-15.4639	-16.6106	-17.7864	-18.8157	-19.9956	-20.8835
58000	1114.77	87.5983	0.278085	0	-2.35889	-4.46973	-6.45142	-8.30396	-9.82202	-11.3682	-12.9172	-14.1399	-15.4663	-16.6118	-17.7869	-18.8169	-19.9963	-20.8853
58500	587.859	51.2554	0.527338	0	-2.35938	-4.46973	-6.45215	-8.30371	-9.82251	-11.3677	-12.9163	-14.1394	-15.4656	-16.6111	-17.7869	-18.8184	-19.9968	-20.8877
59000	310	45.5919	1	0	-2.35986	-4.46924	-6.44971	-8.30078	-9.81958	-11.3652	-12.9133	-14.1355	-15.4624	-16.6072	-17.7832	-18.814	-19.9924	-20.8833
59500	759.342	66.3502	0.408248	0	-2.35767	-4.46802	-6.44775	-8.29883	-9.81812	-11.3625	-12.9109	-14.1331	-15.4602	-16.6035	-17.78	-18.8098	-19.9883	-20.8792
60000	310	45.7441	1	0	-2.35815	-4.46802	-6.44653	-8.29932	-9.81836	-11.3633	-12.9092	-14.1311	-15.4578	-16.6016	-17.7778	-18.8081	-19.9863	-20.8765
60500	352.325	42.9533	0.879868	0	-2.36035	-4.47119	-6.44824	-8.30127	-9.8208	-11.3647	-12.9102	-14.1323	-15.4587	-16.6021	-17.7786	-18.8088	-19.9858	-20.876
61000	980.848	60.9785	0.316053	0	-2.36182	-4.47168	-6.44873	-8.30151	-9.82373	-11.366	-12.9099	-14.1331	-15.4587	-16.6025	-17.7786	-18.8088	-19.9849	-20.8752
61500	1114.77	82.487	0.278085	0	-2.36108	-4.47095	-6.44873	-8.30225	-9.8252	-11.3665	-12.9084	-14.1321	-15.457	-16.6008	-17.7771	-18.8071	-19.9827	-20.873
62000	759.342	58.0426	0.408248	0	-2.36108	-4.47119	-6.44861	-8.30029	-9.82422	-11.3665	-12.9078	-14.1322	-15.4557	-16.6001	-17.775	-18.8057	-19.9811	-20.8707
62500	759.342	59.9266	0.408248	0	-2.36121	-4.47034	-6.44788	-8.29919	-9.82288	-11.3651	-12.9064	-14.1306	-15.4541	-16.5979	-17.7728	-18.8035	-19.979	-20.8685
63000	863.017	62.9211	0.359205	0	-2.36157	-4.47046	-6.44788	-8.29932	-9.82275	-11.3646	-12.9059	-14.13	-15.4537	-16.5966	-17.7715	-18.8022	-19.9778	-20.8672
63500	517.238	55.2744	0.599337	0	-2.36157	-4.46985	-6.44788	-8.29895	-9.82239	-11.3649	-12.9047	-14.1293	-15.4524	-16.5952	-17.7701	-18.8007	-19.9763	-20.8657
64000	980.848	89.0602	0.316053	0	-2.36182	-4.47009	-6.44849	-8.29895	-9.82336	-11.3665	-12.9054	-14.1296	-15.4532	-16.5956	-17.7704	-18.8013	-19.9762	-20.8657
64500	759.342	56.2364	0.408248	0	-2.36206	-4.4707	-6.44824	-8.29968	-9.82324	-11.3665	-12.9056	-14.1289	-15.4532	-16.5953	-17.7697	-18.8007	-19.9756	-20.8647
65000	455.102	51.8489	0.681167	0	-2.3623	-4.47144	-6.44897	-8.2998	-9.8241	-11.3667	-12.9061	-14.1292	-15.4535	-16.5951	-17.7695	-18.8005	-19.9753	-20.8646
65500	455.102	55.1756	0.681167	0	-2.36255	-4.47131	-6.44922	-8.2998	-9.82373	-11.3667	-12.9058	-14.1292	-15.4531	-16.5948	-17.7687	-18.7998	-19.9745	-20.8638
66000	400.43	53.2222	0.774169	0	-2.3623	-4.47119	-6.44934	-8.29956	-9.82288	-11.3658	-12.9049	-14.1281	-15.4518	-16.5933	-17.7672	-18.7982	-19.9728	-20.8622
66500	587.859	53.9545	0.527338	0	-2.36279	-4.47095	-6.44922	-8.29919	-9.82312	-11.3656	-12.9048	-14.1272	-15.4507	-16.5925	-17.766	-18.797	-19.9714	-20.8611
