"Steps"	"Temperature (K)"	"PotentialEnergy"	"Scaling"	"310K Weight"	"347.828K Weight"	"390.272K Weight"	"437.895K Weight"	"491.33K Weight"	"551.284K Weight"	"618.555K Weight"	"694.035K Weight"	"778.725K Weight"	"873.75K Weight"	"980.37K Weight"	"1100K Weight"
10900	778.725	72.0341	0.398087	0	6	9	11	14	16	17	19	19	22	22	23
10950	390.272	78.8881	0.794318	0	6	8	11	14	16	17	19	19	22	22	23
11000	551.284	58.8129	0.562323	0	6	8	11	14	15	17	19	19	22	22	23
11050	347.828	89.6584	0.891245	0	5	8	11	14	15	17	19	19	22	22	23
11100	491.33	67.3306	0.630941	0	5	8	11	13	15	17	19	19	22	22	23
11150	1100	49.0982	0.281818	0	5	8	11	13	15	17	19	19	22	22	22
11200	310	88.2731	1	0	6	9	12	14	16	18	20	20	23	23	23
11250	980.37	53.8039	0.316207	0	6	9	12	14	16	18	20	20	23	22	23
11300	310	117.839	1	0	7	10	13	15	17	19	21	21	24	23	24
11350	694.035	77.0375	0.446663	0	7	10	13	15	17	19	20	21	24	23	24
11400	347.828	114.382	0.891245	0	6	10	13	15	17	19	20	21	24	23	24
11450	390.272	69.4876	0.794318	0	6	9	13	15	17	19	20	21	24	23	24
11500	873.75	72.1141	0.354793	0	6	9	13	15	17	19	20	21	23	23	24
11550	694.035	64.6563	0.446663	0	6	9	13	15	17	19	19	21	23	23	24
11600	694.035	66.3189	0.446663	0	6	9	13	15	17	19	18	21	23	23	24
11650	551.284	81.9396	0.562323	0	6	9	13	15	16	19	18	21	23	23	24
11700	1100	57.2256	0.281818	0	6	9	13	15	16	19	18	21	23	23	23
11750	437.895	92.2717	0.707932	0	6	9	12	15	16	19	18	21	23	23	23
11800	980.37	52.2015	0.316207	0	6	9	12	15	16	19	18	21	23	22	23
11850	618.555	61.513	0.501168	0	6	9	12	15	16	18	18	21	23	22	23
11900	491.33	84.5576	0.630941	0	6	9	12	14	16	18	18	21	23	22	23
11950	347.828	73.7325	0.891245	0	5	9	12	14	16	18	18	21	23	22	23
12000	873.75	76.4529	0.354793	0	5	9	12	14	16	18	18	21	22	22	23
12050	437.895	85.3566	0.707932	0	5	9	11	14	16	18	18	21	22	22	23
12100	694.035	65.4659	0.446663	0	5	9	11	14	16	18	17	21	22	22	23
12150	873.75	71.8662	0.354793	0	5	9	11	14	16	18	17	21	21	22	23
12200	778.725	59.9948	0.398087	0	5	9	11	14	16	18	17	20	21	22	23
12250	778.725	53.2525	0.398087	0	5	9	11	14	16	18	17	19	21	22	23
12300	873.75	65.9688	0.354793	0	5	9	11	14	16	18	17	19	20	22	23
12350	618.555	74.1267	0.501168	0	5	9	11	14	16	17	17	19	20	22	23
12400	437.895	78.7052	0.707932	0	5	9	10	14	16	17	17	19	20	22	23
12450	390.272	71.1019	0.794318	0	5	8	10	14	16	17	17	19	20	22	23
12500	980.37	49.8214	0.316207	0	5	8	10	14	16	17	17	19	20	21	23
12550	491.33	75.2119	0.630941	0	5	8	10	13	16	17	17	19	20	21	23
12600	551.284	61.2868	0.562323	0	5	8	10	13	15	17	17	19	20	21	23
12650	618.555	67.655	0.501168	0	5	8	10	13	15	16	17	19	20	21	23
12700	1100	57.1831	0.281818	0	5	8	10	13	15	16	17	19	20	21	22
12750	1100	71.8072	0.281818	0	5	8	10	13	15	16	17	19	20	21	21
12800	778.725	79.0012	0.398087	0	5	8	10	13	15	16	17	18	20	21	21
12850	347.828	102.644	0.891245	0	4	8	10	13	15	16	17	18	20	21	21
12900	694.035	71.0703	0.446663	0	4	8	10	13	15	16	16	18	20	21	21
12950	491.33	70.0997	0.630941	0	4	8	10	12	15	16	16	18	20	21	21
13000	551.284	46.5728	0.562323	0	4	8	10	12	14	16	16	18	20	21	21
13050	873.75	57.5473	0.354793	0	4	8	10	12	14	16	16	18	19	21	21
13100	980.37	50.5899	0.316207	0	4	8	10	12	14	16	16	18	19	20	21
13150	778.725	57.16	0.398087	0	4	8	10	12	14	16	16	17	19	20	21
13200	778.725	72.5731	0.398087	0	4	8	10	12	14	16	16	16	19	20	21
13250	1100	62.7671	0.281818	0	4	8	10	12	14	16	16	16	19	20	20
13300	618.555	73.3947	0.501168	0	4	8	10	12	14	15	16	16	19	20	20
13350	491.33	59.818	0.630941	0	4	8	10	11	14	15	16	16	19	20	20
13400	1100	43.5273	0.281818	0	4	8	10	11	14	15	16	16	19	20	19
13450	873.75	64.2876	0.354793	0	4	8	10	11	14	15	16	16	18	20	19
13500	347.828	85.2054	0.891245	0	3	8	10	11	14	15	16	16	18	20	19
13550	980.37	56.2142	0.316207	0	3	8	10	11	14	15	16	16	18	19	19
13600	390.272	75.3839	0.794318	0	3	7	10	11	14	15	16	16	18	19	19
13650	437.895	61.5783	0.707932	0	3	7	9	11	14	15	16	16	18	19	19
13700	551.284	46.5351	0.562323	0	3	7	9	11	13	15	16	16	18	19	19
13750	437.895	79.1063	0.707932	0	3	7	8	11	13	15	16	16	18	19	19
13800	694.035	53.7432	0.446663	0	3	7	8	11	13	15	15	16	18	19	19
13850	873.75	45.5495	0.354793	0	3	7	8	11	13	15	15	16	17	19	19
13900	980.37	43.3007	0.316207	0	3	7	8	11	13	15	15	16	17	18	19
13950	873.75	56.0456	0.354793	0	3	7	8	11	13	15	15	16	16	18	19
14000	1100	66.2759	0.281818	0	3	7	8	11	13	15	15	16	16	18	18
14050	390.272	71.9767	0.794318	0	3	6	8	11	13	15	15	16	16	18	18
14100	551.284	58.7915	0.562323	0	3	6	8	11	12	15	15	16	16	18	18
14150	390.272	60.6639	0.794318	0	3	5	8	11	12	15	15	16	16	18	18
14200	618.555	58.2972	0.501168	0	3	5	8	11	12	14	15	16	16	18	18
14250	694.035	42.0274	0.446663	0	3	5	8	11	12	14	14	16	16	18	18
14300	1100	57.3989	0.281818	0	3	5	8	11	12	14	14	16	16	18	17
14350	980.37	56.6099	0.316207	0	3	5	8	11	12	14	14	16	16	17	17
14400	694.035	49.3494	0.446663	0	3	5	8	11	12	14	13	16	16	17	17
14450	873.75	49.0362	0.354793	0	3	5	8	11	12	14	13	16	15	17	17
14500	873.75	54.8706	0.354793	0	3	5	8	11	12	14	13	16	14	17	17
14550	778.725	49.9834	0.398087	0	3	5	8	11	12	14	13	15	14	17	17
14600	618.555	50.883	0.501168	0	3	5	8	11	12	13	13	15	14	17	17
14650	551.284	51.4219	0.562323	0	3	5	8	11	11	13	13	15	14	17	17
14700	390.272	54.5314	0.794318	0	3	4	8	11	11	13	13	15	14	17	17
14750	618.555	55.1605	0.501168	0	3	4	8	11	11	12	13	15	14	17	17
14800	310	59.0002	1	0	4	5	9	12	12	13	14	16	15	18	18
14850	1100	56.0137	0.281818	0	4	5	9	12	12	13	14	16	15	18	17
14900	491.33	52.4352	0.630941	0	4	5	9	11	12	13	14	16	15	18	17
14950	618.555	56.161	0.501168	0	4	5	9	11	12	12	14	16	15	18	17
15000	491.33	57.398	0.630941	0	4	5	9	10	12	12	14	16	15	18	17
15050	347.828	58.6597	0.891245	0	3	5	9	10	12	12	14	16	15	18	17
15100	980.37	52.326	0.316207	0	3	5	9	10	12	12	14	16	15	17	17
15150	778.725	52.0805	0.398087	0	3	5	9	10	12	12	14	15	15	17	17
15200	437.895	74.1618	0.707932	0	3	5	8	10	12	12	14	15	15	17	17
15250	310	76.116	1	0	4	6	9	11	13	13	15	16	16	18	18
15300	694.035	50.7595	0.446663	0	4	6	9	11	13	13	14	16	16	18	18
15350	778.725	48.025	0.398087	0	4	6	9	11	13	13	14	15	16	18	18
15400	873.75	57.5735	0.354793	0	4	6	9	11	13	13	14	15	15	18	18
15450	551.284	56.5019	0.562323	0	4	6	9	11	12	13	14	15	15	18	18
15500	1100	49.3182	0.281818	0	4	6	9	11	12	13	14	15	15	18	17
15550	873.75	59.3859	0.354793	0	4	6	9	11	12	13	14	15	14	18	17
15600	980.37	50.5705	0.316207	0	4	6	9	11	12	13	14	15	14	17	17
15650	437.895	68.1041	0.707932	0	4	6	8	11	12	13	14	15	14	17	17
15700	873.75	42.8197	0.354793	0	4	6	8	11	12	13	14	15	13	17	17
15750	491.33	64.189	0.630941	0	4	6	8	10	12	13	14	15	13	17	17
15800	390.272	58.6395	0.794318	0	4	5	8	10	12	13	14	15	13	17	17
15850	980.37	49.2972	0.316207	0	4	5	8	10	12	13	14	15	13	16	17
15900	551.284	79.0246	0.562323	0	4	5	8	10	11	13	14	15	13	16	17
15950	551.284	58.4816	0.562323	0	4	5	8	10	10	13	14	15	13	16	17
16000	618.555	57.8717	0.501168	0	4	5	8	10	10	12	14	15	13	16	17
16050	390.272	62.6283	0.794318	0	4	4	8	10	10	12	14	15	13	16	17
16100	347.828	66.3933	0.891245	0	3	4	8	10	10	12	14	15	13	16	17
16150	618.555	58.8967	0.501168	0	3	4	8	10	10	11	14	15	13	16	17
16200	347.828	54.7839	0.891245	0	2	4	8	10	10	11	14	15	13	16	17
16250	618.555	50.4225	0.501168	0	2	4	8	10	10	10	14	15	13	16	17
16300	980.37	55.3223	0.316207	0	2	4	8	10	10	10	14	15	13	15	17
16350	491.33	55.8594	0.630941	0	2	4	8	9	10	10	14	15	13	15	17
16400	694.035	55.9002	0.446663	0	2	4	8	9	10	10	13	15	13	15	17
16450	437.895	70.9386	0.707932	0	2	4	7	9	10	10	13	15	13	15	17
16500	551.284	65.7246	0.562323	0	2	4	7	9	9	10	13	15	13	15	17
16550	437.895	55.0575	0.707932	0	2	4	6	9	9	10	13	15	13	15	17
16600	778.725	51.8478	0.398087	0	2	4	6	9	9	10	13	14	13	15	17
16650	1100	46.9343	0.281818	0	2	4	6	9	9	10	13	14	13	15	16
