"Steps"	"Temperature (K)"	"PotentialEnergy"	"Scaling"	"310K Weight"	"325.179K Weight"	"341.101K Weight"	"357.803K Weight"	"375.323K Weight"	"393.7K Weight"	"412.978K Weight"	"433.199K Weight"	"454.41K Weight"	"476.661K Weight"	"500K Weight"
7450000	341.101	1042.7	0.908821	0	-17.2441	-34.4081	-51.8932	-69.7474	-87.6637	-105.945	-124.295	-143.163	-162.129	-181.325
7500000	375.323	1130.64	0.825956	0	-17.2441	-34.4081	-51.8932	-69.7474	-87.6637	-105.945	-124.295	-143.163	-162.129	-181.325
7550000	357.803	1133.52	0.866398	0	-17.2441	-34.4081	-51.8932	-69.7474	-87.6637	-105.945	-124.295	-143.163	-162.129	-181.325
7600000	310	859.992	1	0	-17.2441	-34.4081	-51.8932	-69.7474	-87.6637	-105.945	-124.295	-143.163	-162.129	-181.325
7650000	325.179	908.194	0.953321	0	-17.2441	-34.4081	-51.8932	-69.7474	-87.6637	-105.945	-124.295	-143.163	-162.129	-181.325
7700000	310	889.08	1	0	-17.2441	-34.4081	-51.8932	-69.7474	-87.6637	-105.945	-124.295	-143.163	-162.129	-181.325
7750000	310	865.211	1	0	-17.2441	-34.4081	-51.8932	-69.7474	-87.6637	-105.945	-124.295	-143.163	-162.129	-181.325
7800000	357.803	1143.94	0.866398	0	-17.2441	-34.4081	-51.8932	-69.7474	-87.6637	-105.945	-124.295	-143.163	-162.129	-181.325
7850000	341.101	1019.79	0.908821	0	-17.2441	-34.4081	-51.8932	-69.7474	-87.6637	-105.945	-124.295	-143.163	-162.129	-181.325
7900000	310	861.765	1	0	-17.2441	-34.4081	-51.8932	-69.7474	-87.6637	-105.945	-124.295	-143.163	-162.129	-181.325
7950000	325.179	945.662	0.953321	0	-17.2441	-34.4081	-51.8932	-69.7474	-87.6637	-105.945	-124.295	-143.163	-162.129	-181.325
8000000	325.179	913.208	0.953321	0	-17.2441	-34.4081	-51.8932	-69.7474	-87.6637	-105.945	-124.295	-143.163	-162.129	-181.325
8050000	325.179	937.388	0.953321	0	-17.2441	-34.4081	-51.8932	-69.7474	-87.6637	-105.945	-124.295	-143.163	-162.129	-181.325
8100000	310	901.704	1	0	-17.2441	-34.4081	-51.8932	-69.7474	-87.6636	-105.945	-124.295	-143.163	-162.129	-181.325
8150000	310	898.537	1	0	-17.2441	-34.4081	-51.8932	-69.7474	-87.6636	-105.945	-124.295	-143.163	-162.129	-181.325
8200000	357.803	1090.49	0.866398	0	-17.2441	-34.4081	-51.8932	-69.7474	-87.6636	-105.945	-124.295	-143.163	-162.129	-181.325
8250000	325.179	960.12	0.953321	0	-17.2441	-34.4081	-51.8932	-69.7474	-87.6636	-105.945	-124.295	-143.163	-162.129	-181.325
8300000	357.803	1107.65	0.866398	0	-17.2441	-34.4081	-51.8932	-69.7474	-87.6636	-105.945	-124.295	-143.163	-162.129	-181.325
8350000	341.101	959.599	0.908821	0	-17.2441	-34.4081	-51.8932	-69.7474	-87.6636	-105.945	-124.295	-143.163	-162.129	-181.325
8400000	310	898.508	1	0	-17.2441	-34.4081	-51.8932	-69.7474	-87.6636	-105.945	-124.295	-143.163	-162.129	-181.325
8450000	310	884.622	1	0	-17.2441	-34.4081	-51.8932	-69.7473	-87.6636	-105.945	-124.295	-143.163	-162.129	-181.325
8500000	310	941.169	1	0	-17.2441	-34.4081	-51.8932	-69.7473	-87.6636	-105.945	-124.295	-143.163	-162.129	-181.325
8550000	412.978	1321.08	0.750646	0	-17.2441	-34.4081	-51.8932	-69.7473	-87.6636	-105.945	-124.295	-143.163	-162.129	-181.325
