"Steps"	"Temperature (K)"	"PotentialEnergy"	"Scaling"	"310K Weight"	"353.769K Weight"	"403.717K Weight"	"460.718K Weight"	"525.767K Weight"	"600K Weight"
21500	403.717	1004.19	0.767864	0	63	63	127	191	191
21600	403.717	1000.19	0.767864	0	63	63	127	191	191
21700	403.717	967.105	0.767864	0	63	63	127	191	191
21800	403.717	1008.04	0.767864	0	63	63	127	191	191
21900	403.717	970.253	0.767864	0	63	63	127	191	191
22000	525.767	946.706	0.589615	0	63	63	127	127	191
22100	525.767	999.028	0.589615	0	63	63	127	127	191
22200	525.767	973.613	0.589615	0	63	63	127	127	191
22300	525.767	1025.98	0.589615	0	63	63	127	127	191
22400	525.767	1023.92	0.589615	0	63	63	127	127	191
22500	353.769	1067.26	0.876278	0	-1	63	127	127	191
22600	353.769	948.961	0.876278	0	-1	63	127	127	191
22700	353.769	900.584	0.876278	0	-1	63	127	127	191
22800	353.769	926.739	0.876278	0	-1	63	127	127	191
22900	353.769	954.097	0.876278	0	-1	63	127	127	191
23000	600	941.076	0.516667	0	-1	63	127	127	127
23100	600	1025.73	0.516667	0	-1	63	127	127	127
23200	600	1048.2	0.516667	0	-1	63	127	127	127
23300	600	1147.65	0.516667	0	-1	63	127	127	127
23400	600	1117.83	0.516667	0	-1	63	127	127	127
23500	310	1051.41	1	0	63	127	191	191	191
23600	310	938.138	1	0	63	127	191	191	191
23700	310	915.216	1	0	63	127	191	191	191
23800	310	938.848	1	0	63	127	191	191	191
23900	310	923.138	1	0	63	127	191	191	191
24000	460.718	990.121	0.672862	0	63	127	127	191	191
24100	460.718	977.382	0.672862	0	63	127	127	191	191
24200	460.718	980.033	0.672862	0	63	127	127	191	191
24300	460.718	957.121	0.672862	0	63	127	127	191	191
24400	460.718	1025.6	0.672862	0	63	127	127	191	191
24500	403.717	1041.39	0.767864	0	63	63	127	191	191
24600	403.717	985.767	0.767864	0	63	63	127	191	191
24700	403.717	975.231	0.767864	0	63	63	127	191	191
24800	403.717	1004.3	0.767864	0	63	63	127	191	191
24900	403.717	1026.1	0.767864	0	63	63	127	191	191
25000	525.767	961.347	0.589615	0	63	63	127	127	191
25100	525.767	1092.43	0.589615	0	63	63	127	127	191
25200	525.767	1017.48	0.589615	0	63	63	127	127	191
25300	525.767	1013.99	0.589615	0	63	63	127	127	191
25400	525.767	1104.15	0.589615	0	63	63	127	127	191
25500	353.769	1070.86	0.876278	0	-1	63	127	127	191
25600	353.769	922.353	0.876278	0	-1	63	127	127	191
25700	353.769	969.133	0.876278	0	-1	63	127	127	191
25800	353.769	923.778	0.876278	0	-1	63	127	127	191
25900	353.769	964.26	0.876278	0	-1	63	127	127	191
26000	600	931.311	0.516667	0	-1	63	127	127	127
26100	600	1048.47	0.516667	0	-1	63	127	127	127
26200	600	1068.02	0.516667	0	-1	63	127	127	127
26300	600	1154.85	0.516667	0	-1	63	127	127	127
26400	600	1162.05	0.516667	0	-1	63	127	127	127
26500	310	1089.31	1	0	63	127	191	191	191
26600	310	923.615	1	0	63	127	191	191	191
26700	310	970.27	1	0	63	127	191	191	191
26800	310	919.874	1	0	63	127	191	191	191
26900	310	905.63	1	0	63	127	191	191	191
27000	460.718	952.835	0.672862	0	63	127	127	191	191
27100	460.718	972.84	0.672862	0	63	127	127	191	191
27200	460.718	1001.85	0.672862	0	63	127	127	191	191
27300	460.718	969.234	0.672862	0	63	127	127	191	191
27400	460.718	1026.43	0.672862	0	63	127	127	191	191
27500	403.717	980.822	0.767864	0	63	63	127	191	191
27600	403.717	962.012	0.767864	0	63	63	127	191	191
27700	403.717	967.445	0.767864	0	63	63	127	191	191
27800	403.717	1034.14	0.767864	0	63	63	127	191	191
27900	403.717	996.387	0.767864	0	63	63	127	191	191
28000	525.767	995.667	0.589615	0	63	63	127	127	191
28100	525.767	1041.87	0.589615	0	63	63	127	127	191
28200	525.767	1119.92	0.589615	0	63	63	127	127	191
28300	525.767	1054.03	0.589615	0	63	63	127	127	191
28400	525.767	985.234	0.589615	0	63	63	127	127	191
28500	353.769	1028.78	0.876278	0	-1	63	127	127	191
28600	353.769	988.959	0.876278	0	-1	63	127	127	191
28700	353.769	1021.74	0.876278	0	-1	63	127	127	191
28800	353.769	994.311	0.876278	0	-1	63	127	127	191
28900	353.769	939.575	0.876278	0	-1	63	127	127	191
29000	600	985.759	0.516667	0	-1	63	127	127	127
29100	600	1060.79	0.516667	0	-1	63	127	127	127
29200	600	1054.5	0.516667	0	-1	63	127	127	127
29300	600	971.865	0.516667	0	-1	63	127	127	127
29400	600	1049.6	0.516667	0	-1	63	127	127	127
29500	310	1030.3	1	0	63	127	191	191	191
29600	310	898.526	1	0	63	127	191	191	191
29700	310	893.886	1	0	63	127	191	191	191
29800	310	908.283	1	0	63	127	191	191	191
29900	310	927.734	1	0	63	127	191	191	191
30000	460.718	878.988	0.672862	0	63	127	127	191	191
30100	460.718	1063.96	0.672862	0	63	127	127	191	191
30200	460.718	1035.16	0.672862	0	63	127	127	191	191
30300	460.718	970.171	0.672862	0	63	127	127	191	191
30400	460.718	998.914	0.672862	0	63	127	127	191	191
30500	403.717	1016.76	0.767864	0	63	63	127	191	191
30600	403.717	983.646	0.767864	0	63	63	127	191	191
30700	403.717	959.006	0.767864	0	63	63	127	191	191
30800	403.717	1004.96	0.767864	0	63	63	127	191	191
30900	403.717	994.015	0.767864	0	63	63	127	191	191
31000	525.767	1001.66	0.589615	0	63	63	127	127	191
31100	525.767	995.958	0.589615	0	63	63	127	127	191
31200	525.767	1021.66	0.589615	0	63	63	127	127	191
31300	525.767	1062.81	0.589615	0	63	63	127	127	191
31400	525.767	1005.54	0.589615	0	63	63	127	127	191
31500	353.769	1061.44	0.876278	0	-1	63	127	127	191
31600	353.769	939.29	0.876278	0	-1	63	127	127	191
31700	353.769	935.086	0.876278	0	-1	63	127	127	191
31800	353.769	952.178	0.876278	0	-1	63	127	127	191
31900	353.769	990.085	0.876278	0	-1	63	127	127	191
32000	600	921.935	0.516667	0	-1	63	127	127	127
32100	600	1034.97	0.516667	0	-1	63	127	127	127
32200	600	1058.9	0.516667	0	-1	63	127	127	127
32300	600	1108.97	0.516667	0	-1	63	127	127	127
32400	600	1066.47	0.516667	0	-1	63	127	127	127
32500	310	1070.84	1	0	63	127	191	191	191
32600	310	927.233	1	0	63	127	191	191	191
32700	310	935.57	1	0	63	127	191	191	191
32800	310	897.095	1	0	63	127	191	191	191
32900	310	889.374	1	0	63	127	191	191	191
33000	460.718	888.627	0.672862	0	63	127	127	191	191
33100	460.718	953.334	0.672862	0	63	127	127	191	191
33200	460.718	945.636	0.672862	0	63	127	127	191	191
33300	460.718	991.413	0.672862	0	63	127	127	191	191
33400	460.718	993.866	0.672862	0	63	127	127	191	191
33500	403.717	969.095	0.767864	0	63	63	127	191	191
33600	403.717	971.739	0.767864	0	63	63	127	191	191
33700	403.717	982.07	0.767864	0	63	63	127	191	191
33800	403.717	962.292	0.767864	0	63	63	127	191	191
33900	403.717	954.911	0.767864	0	63	63	127	191	191
34000	525.767	1018.21	0.589615	0	63	63	127	127	191
34100	525.767	1050.27	0.589615	0	63	63	127	127	191
34200	525.767	1125.15	0.589615	0	63	63	127	127	191
34300	525.767	990.846	0.589615	0	63	63	127	127	191
34400	525.767	1065.08	0.589615	0	63	63	127	127	191
34500	353.769	976.073	0.876278	0	-1	63	127	127	191
34600	353.769	924.271	0.876278	0	-1	63	127	127	191
34700	353.769	950.177	0.876278	0	-1	63	127	127	191
34800	353.769	952.543	0.876278	0	-1	63	127	127	191
34900	353.769	913.303	0.876278	0	-1	63	127	127	191
35000	600	889.056	0.516667	0	-1	63	127	127	127
35100	600	1077.12	0.516667	0	-1	63	127	127	127
35200	600	1047.86	0.516667	0	-1	63	127	127	127
35300	600	1027.9	0.516667	0	-1	63	127	127	127
35400	600	1049.95	0.516667	0	-1	63	127	127	127
35500	310	1110.1	1	0	63	127	191	191	191
35600	310	933.548	1	0	63	127	191	191	191
35700	310	886.003	1	0	63	127	191	191	191
35800	310	895.046	1	0	63	127	191	191	191
35900	310	912.079	1	0	63	127	191	191	191
