"Steps"	"Temperature (K)"	"PotentialEnergy"	"Scaling"	"300K Weight"	"340.866K Weight"	"387.298K Weight"	"440.056K Weight"	"500K Weight"
13900	340.866	42.5045	0.880112	0	2	6	7	8
13950	340.866	52.4403	0.880112	0	2	6	7	8
14000	340.866	49.2581	0.880112	0	1	6	7	8
14050	340.866	53.5679	0.880112	0	1	6	7	8
14100	340.866	48.5402	0.880112	0	1	6	7	8
14150	340.866	47.154	0.880112	0	1	6	7	8
14200	340.866	47.8029	0.880112	0	1	6	7	8
14250	340.866	43.9908	0.880112	0	1	6	7	8
14300	340.866	55.7494	0.880112	0	1	6	7	8
14350	340.866	50.3745	0.880112	0	1	6	7	8
14400	340.866	59.651	0.880112	0	1	6	7	8
14450	340.866	56.4865	0.880112	0	1	6	7	8
14500	387.298	53.3332	0.774597	0	1	5	7	8
14550	387.298	53.5763	0.774597	0	1	5	7	8
14600	387.298	55.5928	0.774597	0	1	5	7	8
14650	387.298	49.4094	0.774597	0	1	5	7	8
14700	387.298	55.5737	0.774597	0	1	5	7	8
14750	387.298	45.0546	0.774597	0	1	5	7	8
14800	387.298	56.3369	0.774597	0	1	5	7	8
14850	387.298	44.6269	0.774597	0	1	5	7	8
14900	387.298	46.7676	0.774597	0	1	5	7	8
14950	387.298	45.8128	0.774597	0	1	5	7	8
15000	300	64.0175	1	0	2	6	8	9
15050	300	71.4976	1	0	2	6	8	9
15100	300	68.7687	1	0	2	6	8	9
15150	300	55.9199	1	0	2	6	8	9
15200	300	58.654	1	0	2	6	8	9
15250	300	51.0358	1	0	2	6	8	9
15300	300	52.664	1	0	2	6	8	9
15350	300	44.0806	1	0	2	6	8	9
15400	300	46.5277	1	0	2	6	8	9
15450	300	56.1456	1	0	2	6	8	9
15500	300	57.0332	1	0	3	7	9	10
15550	300	48.1351	1	0	3	7	9	10
15600	300	64.1755	1	0	3	7	9	10
15650	300	58.1144	1	0	3	7	9	10
15700	300	67.3577	1	0	3	7	9	10
15750	300	61.9352	1	0	3	7	9	10
15800	300	57.8098	1	0	3	7	9	10
15850	300	55.072	1	0	3	7	9	10
15900	300	50.0892	1	0	3	7	9	10
15950	300	48.4885	1	0	3	7	9	10
16000	387.298	58.3657	0.774597	0	3	6	9	10
16050	387.298	49.0043	0.774597	0	3	6	9	10
16100	387.298	52.9352	0.774597	0	3	6	9	10
