"Steps"	"Temperature (K)"	"PotentialEnergy"	"Scaling"	"298K Weight"	"386.47K Weight"	"501.204K Weight"	"650K Weight"
16100	386.47	59.515	0.771083	0	-6	-10	-15
16150	386.47	60.9533	0.771083	0	-6	-10	-15
16200	386.47	59.1939	0.771083	0	-6	-10	-15
16250	298	43.0703	1	0	-4	-8	-13
16300	298	45.8001	1	0	-4	-8	-13
16350	298	48.7502	1	0	-4	-8	-13
16400	298	51.1743	1	0	-4	-8	-13
16450	298	49.3836	1	0	-4	-8	-13
16500	298	41.2696	1	0	-2	-6	-11
16550	298	49.3842	1	0	-2	-6	-11
16600	298	45.3208	1	0	-2	-6	-11
16650	298	52.1512	1	0	-2	-6	-11
16700	298	48.7172	1	0	-2	-6	-11
16750	386.47	61.6222	0.771083	0	-4	-6	-11
16800	386.47	52.6843	0.771083	0	-4	-6	-11
16850	386.47	53.4692	0.771083	0	-4	-6	-11
16900	386.47	59.1059	0.771083	0	-4	-6	-11
16950	386.47	69.5225	0.771083	0	-4	-6	-11
17000	501.204	83.2548	0.594569	0	-4	-8	-11
17050	501.204	74.608	0.594569	0	-4	-8	-11
17100	501.204	74.2038	0.594569	0	-4	-8	-11
17150	501.204	74.0186	0.594569	0	-4	-8	-11
17200	501.204	67.5611	0.594569	0	-4	-8	-11
17250	650	105.839	0.458462	0	-4	-8	-13
17300	650	100.46	0.458462	0	-4	-8	-13
17350	650	109.73	0.458462	0	-4	-8	-13
17400	650	101.622	0.458462	0	-4	-8	-13
17450	650	105.77	0.458462	0	-4	-8	-13
17500	650	122.246	0.458462	0	-4	-8	-15
17550	650	109.278	0.458462	0	-4	-8	-15
17600	650	122.968	0.458462	0	-4	-8	-15
17650	650	126.732	0.458462	0	-4	-8	-15
17700	650	126.744	0.458462	0	-4	-8	-15
17750	501.204	94.0402	0.594569	0	-4	-10	-15
17800	501.204	90.7652	0.594569	0	-4	-10	-15
17850	501.204	114.518	0.594569	0	-4	-10	-15
17900	501.204	75.8658	0.594569	0	-4	-10	-15
17950	501.204	77.0086	0.594569	0	-4	-10	-15
18000	501.204	68.3315	0.594569	0	-4	-12	-15
18050	501.204	72.5882	0.594569	0	-4	-12	-15
18100	501.204	78.1887	0.594569	0	-4	-12	-15
18150	501.204	94.6101	0.594569	0	-4	-12	-15
18200	501.204	84.5833	0.594569	0	-4	-12	-15
18250	650	127.46	0.458462	0	-4	-12	-17
18300	650	116.808	0.458462	0	-4	-12	-17
18350	650	136.574	0.458462	0	-4	-12	-17
18400	650	124.554	0.458462	0	-4	-12	-17
18450	650	113.078	0.458462	0	-4	-12	-17
18500	650	140.483	0.458462	0	-4	-12	-19
18550	650	147.63	0.458462	0	-4	-12	-19
18600	650	165.861	0.458462	0	-4	-12	-19
18650	650	150.163	0.458462	0	-4	-12	-19
18700	650	117.483	0.458462	0	-4	-12	-19
18750	501.204	86.6315	0.594569	0	-4	-14	-19
18800	501.204	100.893	0.594569	0	-4	-14	-19
18850	501.204	123.112	0.594569	0	-4	-14	-19
18900	501.204	93.6393	0.594569	0	-4	-14	-19
18950	501.204	105.262	0.594569	0	-4	-14	-19
19000	386.47	76.4681	0.771083	0	-6	-14	-19
19050	386.47	77.1968	0.771083	0	-6	-14	-19
19100	386.47	67.8539	0.771083	0	-6	-14	-19
19150	386.47	58.6665	0.771083	0	-6	-14	-19
19200	386.47	57.7638	0.771083	0	-6	-14	-19
19250	386.47	65.1926	0.771083	0	-8	-14	-19
19300	386.47	70.8157	0.771083	0	-8	-14	-19
19350	386.47	55.5857	0.771083	0	-8	-14	-19
19400	386.47	58.9714	0.771083	0	-8	-14	-19
19450	386.47	72.4763	0.771083	0	-8	-14	-19
19500	298	56.0441	1	0	-6	-12	-17
19550	298	50.6852	1	0	-6	-12	-17
19600	298	48.4431	1	0	-6	-12	-17
19650	298	42.2876	1	0	-6	-12	-17
19700	298	43.6856	1	0	-6	-12	-17
19750	386.47	65.759	0.771083	0	-8	-12	-17
19800	386.47	60.3551	0.771083	0	-8	-12	-17
19850	386.47	57.1393	0.771083	0	-8	-12	-17
19900	386.47	58.2374	0.771083	0	-8	-12	-17
19950	386.47	66.2929	0.771083	0	-8	-12	-17
20000	650	96.7126	0.458462	0	-8	-12	-19
20050	650	134.417	0.458462	0	-8	-12	-19
20100	650	111.251	0.458462	0	-8	-12	-19
20150	650	115.943	0.458462	0	-8	-12	-19
20200	650	118.216	0.458462	0	-8	-12	-19
20250	501.204	89.9372	0.594569	0	-8	-14	-19
20300	501.204	117.356	0.594569	0	-8	-14	-19
20350	501.204	102.303	0.594569	0	-8	-14	-19
20400	501.204	93.1902	0.594569	0	-8	-14	-19
20450	501.204	85.3307	0.594569	0	-8	-14	-19
20500	501.204	105.283	0.594569	0	-8	-16	-19
20550	501.204	116.204	0.594569	0	-8	-16	-19
20600	501.204	98.2743	0.594569	0	-8	-16	-19
20650	501.204	88.3508	0.594569	0	-8	-16	-19
20700	501.204	74.2427	0.594569	0	-8	-16	-19
