#"Step","Potential Energy (kJ/mole)","Density (g/mL)","Speed (ns/day)","Time Remaining"
138300000,-93.04867553710938,0.02992547106902703,2.76e+03,1:56:35
138350000,-101.32113647460938,0.02992547106902703,2.76e+03,1:56:32
138400000,-110.53359985351562,0.02992547106902703,2.76e+03,1:56:29
138450000,-118.248779296875,0.02992547106902703,2.76e+03,1:56:26
138500000,-101.68597412109375,0.02992547106902703,2.76e+03,1:56:23
138550000,-92.75827026367188,0.02992547106902703,2.76e+03,1:56:19
138600000,-100.07611083984375,0.02992547106902703,2.76e+03,1:56:16
138650000,-115.739990234375,0.02992547106902703,2.76e+03,1:56:13
138700000,-117.1900634765625,0.02992547106902703,2.76e+03,1:56:10
138750000,-100.0750732421875,0.02992547106902703,2.76e+03,1:56:07
138800000,-125.13592529296875,0.02992547106902703,2.76e+03,1:56:04
138850000,-103.9937744140625,0.02992547106902703,2.76e+03,1:56:00
138900000,-125.2532958984375,0.02992547106902703,2.76e+03,1:55:57
138950000,-124.7396240234375,0.02992547106902703,2.76e+03,1:55:54
139000000,-120.93978881835938,0.02992547106902703,2.76e+03,1:55:51
139050000,-106.13357543945312,0.02992547106902703,2.76e+03,1:55:48
139100000,-125.00448608398438,0.02992547106902703,2.76e+03,1:55:45
139150000,-96.24215698242188,0.02992547106902703,2.76e+03,1:55:42
139200000,-141.03125,0.02992547106902703,2.76e+03,1:55:38
139250000,-119.180419921875,0.02992547106902703,2.76e+03,1:55:35
139300000,-122.2171630859375,0.02992547106902703,2.76e+03,1:55:32
139350000,-115.74420166015625,0.02992547106902703,2.76e+03,1:55:29
139400000,-94.25640869140625,0.02992547106902703,2.76e+03,1:55:26
139450000,-98.5098876953125,0.02992547106902703,2.76e+03,1:55:23
139500000,-118.89581298828125,0.02992547106902703,2.76e+03,1:55:19
139550000,-98.03726196289062,0.02992547106902703,2.76e+03,1:55:16
139600000,-106.77279663085938,0.02992547106902703,2.76e+03,1:55:13
139650000,-98.40533447265625,0.02992547106902703,2.76e+03,1:55:10
139700000,-121.1920166015625,0.02992547106902703,2.76e+03,1:55:07
139750000,-114.36178588867188,0.02992547106902703,2.76e+03,1:55:04
139800000,-119.73593139648438,0.02992547106902703,2.76e+03,1:55:01
139850000,-119.85733032226562,0.02992547106902703,2.76e+03,1:54:57
139900000,-126.74063110351562,0.02992547106902703,2.76e+03,1:54:54
139950000,-127.660888671875,0.02992547106902703,2.76e+03,1:54:51
140000000,-117.09280395507812,0.02992547106902703,2.76e+03,1:54:48
140050000,-108.35458374023438,0.02992547106902703,2.76e+03,1:54:45
140100000,-126.3857421875,0.02992547106902703,2.76e+03,1:54:42
140150000,-102.80050659179688,0.02992547106902703,2.76e+03,1:54:38
140200000,-117.15524291992188,0.02992547106902703,2.76e+03,1:54:35
140250000,-76.9891357421875,0.02992547106902703,2.76e+03,1:54:32
140300000,-125.40655517578125,0.02992547106902703,2.76e+03,1:54:29
140350000,-119.50946044921875,0.02992547106902703,2.76e+03,1:54:26
140400000,-106.63055419921875,0.02992547106902703,2.76e+03,1:54:23
140450000,-118.87026977539062,0.02992547106902703,2.76e+03,1:54:20
140500000,-109.86410522460938,0.02992547106902703,2.76e+03,1:54:16
140550000,-106.43740844726562,0.02992547106902703,2.76e+03,1:54:13
140600000,-104.146240234375,0.02992547106902703,2.76e+03,1:54:10
140650000,-122.99423217773438,0.02992547106902703,2.76e+03,1:54:07
140700000,-127.29248046875,0.02992547106902703,2.76e+03,1:54:04
140750000,-114.175537109375,0.02992547106902703,2.76e+03,1:54:01
140800000,-128.24435424804688,0.02992547106902703,2.76e+03,1:53:57
140850000,-118.32794189453125,0.02992547106902703,2.76e+03,1:53:54
140900000,-112.3157958984375,0.02992547106902703,2.76e+03,1:53:51
140950000,-91.88604736328125,0.02992547106902703,2.76e+03,1:53:48
141000000,-109.51657104492188,0.02992547106902703,2.76e+03,1:53:45
141050000,-125.69100952148438,0.02992547106902703,2.76e+03,1:53:42
141100000,-76.26434326171875,0.02992547106902703,2.76e+03,1:53:38
141150000,-120.11700439453125,0.02992547106902703,2.76e+03,1:53:35
141200000,-118.77261352539062,0.02992547106902703,2.76e+03,1:53:32
141250000,-101.9420166015625,0.02992547106902703,2.76e+03,1:53:29
141300000,-134.34466552734375,0.02992547106902703,2.76e+03,1:53:26
141350000,-105.05145263671875,0.02992547106902703,2.76e+03,1:53:23
